ID;UserID;timestamp;isVisible;version;changesetID;latitude;longitude;tags
N261728686;36744;2008-05-03T13:39:23Z;true;1;323878;54.0906309;12.2441924;"[]"
N298884272;46882;2008-09-21T21:37:45Z;true;1;676636;54.0901447;12.2516513;"[]"
N1831881213;75625;2012-07-20T09:43:19Z;true;1;12370172;54.0900666;12.2539381;"[name=Neu Broderstorf,traffic_sign=city_limit]"
N298884269;46882;2008-09-21T21:37:45Z;true;1;676636;54.0901746;12.2482632;"[]"
